شبلی	Sebli
سماق	somAq
پیشدستی	piSdasti
کم‌لطفی	kamlotfi
ملک	malek
اصلاح‌گرا	'eslAhgarA
جاده‌ای	jAdde'i
هرتز	hertz
پیش‌آهنگی	piSAhangi
محمدبن‌جعفر	mohammadebneja'far
فرزند	farzand
نحوی	nahvi
موقع‌شناس	mowqe'SenAs
ناوابستگی	nAvAbastegi
حصارکشی	hesArkeSi
سازی	sAzi
ابن‌السبیل	'ebnossabil
جادویی	jAduyi
چندجانبه	CandjAnebe
مخبرالدوله	moxberoddowle
پاسیفیسم	pAsifism
درخواستنامه	darxAstnAme
جرس	jaras
لیست	list
شترنج	Satranj
مآخذ	ma'Axez
پیشگاه	piSgAh
شناورسازی	SenAvarsAzi
باتجربه	bAtajrobe
انسدادی	'ensedAdi
ارجحیت	'arjahiyyat
آنالوگ	'AnAlog
اسماعیل‌آباد	'esmA'ilAbAd
ولیک	valik
زندانی	zendAni
ماشین‌سازی	mASinsAzi
روشنفکر	rowSanfekr
ترجیع	tarji'
بوتان	butAn
برگر	berger
سرخوش	sarxoS
ضعف	za'f
خبرگزار	xabargozAr
بورژوازی	burZvAzi
آوازخوان	'AvAzxAn
طنز‌‌نویس	tanznevis
چرخ‌کرده	Carxkarde
تحریریه	tahririyye
آبادانی	'AbAdAni
آسیب‌ناپذیر	'AsibnApazir
علی‌دوستی	'alidusti
مسئله	mas'ale
حبشی	habaSi
منطوق	mantuq
تسنن	tasannon
تشکیل‌شده	taSkilSode
امل	'amal
زیراکس	zirAks
آل‌عمران	'Ale'omrAn
ابیات	'abyAt
چوبدست	Cubdast
دروغین	doruqin
ثروت‌اندوزی	servatanduzi
رامشیر	rAmSir
گفت	goft
تعیین	ta'yin
فلش	feleS
حرص	hers
شادی	SAdi
بعید	ba'id
کینه‌‌کشی	kinekeSi
نقره‌سازی	noqresAzi
تاجماه	tAjmAh
خلقان	xolqAn
اختراعی	'exterA'i
نم‌نمک	namnamak
سردوشی	sarduSi
فیلسوف	filsuf
زیف	zayf
مثبته	mosbate
بی‌عمل	bi'amal
بقایی	baqAyi
سرنگهدار	sernegahdAr
درست‌نویسی	dorostnevisi
سخت‌افزار	saxtafzAr
شبنم	Sabnam
پیشرو	piSrow
پیچان	piCAn
خلیل	xalil
خوش‌دست	xoSdast
خدمتگزار	xedmatgozAr
همشهری	hamSahri
قلعه‌‌ای	qal'e'i
نوشابه‌سازی	nuSAbesAzi
زمانی	zamAni
المصری	'almesri
دیوان	divAn
موبر	mubar
استانبول	'estAnbol
پاتان	pAtAn
کارن	kAren
عروسک	'arusak
آهنگسازی	'AhangsAzi
فوق	fowq
ویتامینی	vitAmini
سیلورین	siloriyan
هاگ	hAg
بنیامین	benyAmin
جهر	jahr
امیرحسین	'amirhoseyn
نارسیسیسم	nArsisism
بیات	bayAt
تپه‌ای	tappe'i
قوافی	qavAfi
ایران‌دوستی	'irAndusti
چپو	Capow
اصبع	'asba'
دوبلاژ	dublAZ
صبحگاهی	sobhgAhi
نصرت	nosrat
جلب	jalb
کسایی	kesAyi
ناسا	nAsA
صیحه	seyhe
غیرعادی	qeyre'Addi
دراین‌باره	darinbAre
تذکاریه	tezkAriyye
غصه	qosse
نامتحرک	nAmoteharrek
غیرآهنی	qeyre'Ahani
اصله	'asle
کوته‌‌فکری	kutahfekri
ستاری‌فر	sattArifar
فوق	fowq
آخر‌الامر	'Axarol'amr
پازل‌گونه	pAzelgune
بی‌دین	bidin
لکه	lakke
مردم‌آزار	mardomAzAr
بیجک	bijak
سکنی	soknA
فاخته	fAxte
موشک‌باران	muSakbArAn
جرم	jerm
خیسی	xisi
شهری	Sahri
دلخواهی	delxAhi
سعدی	sa'di
اصفهان	'esfahAn
هاپکینز	hApkinz
عیبجو	'eybju
بازوفیلی	bAzofili
طاهریان	tAheriyAn
کاویانی	kAvyAni
شاهکوه	SAhkuh
کارامد	kArAmad
پیرایش	pirAyeS
صابری	sAberi
سوکارنو	sokArno
شکر‌‌آب	SekarAb
جبرئیل	jebre'il
قرنیز	qarniz
شمالی	SomAli
چنارستان	CenArestAn
ذهن	zehn
مرزوبوم	marzobum
رختخواب	raxtexAb
فوق‌‌برنامه	fowqebarnAme
اعزامی	'e'zAmi
پروتون	poroton
خراج	xarAj
نگذشته	nagozaSte
انسانگرایانه	'ensAngerAyAne
فرشته	fereSte
کاظم‌‌زاده	kAzemzAde
ساختمانی	sAxtemAni
بر‌عهده	bar'ohde
قلی	qoli
اورنگ	'owrang
حمیرا	homeyrA
پیشکوه	piSkuh
دیاترمی	diyAtermi
تصویب‌شده	tasvibSode
پارسال	pArsAl
فرازمینی	farAzamini
مصدری	masdari
نعناعیان	na'nA'iyAn
افشر	'afSor
مشتاقی	moStAqi
ضرابیان	zarrAbiyAn
میلسنگ	milsang
منتشره	montaSere
طاقت	tAqat
آسیب‌رسانی	'AsibresAni
هلهله	helhele
پوراحمد	purahmad
گجرات	gojarAt
خوشنویسی	xoSnevisi
بغستان	baqestAn
خواص	xavAss
پویید	puyid
تردیدآمیز	tardidAmiz
میرزاده	mirzAde
توپولف	topolof
درگذشته	dargozaSte
ضایع	zAye'
یال‌اسبی	yAlasbi
زوال	zavAl
زمخت	zomoxt
عنتری	'antari
پائین‌تنه	pA'intane
فتوالکتریک	foto'elekterik
زارع	zAre'
اردیبهشت	'ordibeheSt
مبتنی	mobtani
عبدالرحمان	'abdolrrahmAn
آذرستان	'AzarestAn
بادی	bAdi
کاغذی	kAqazi
چرچر	CarCar
برده	barde
دارالفنون	dArolfonun
ماری‌جوانا	mArijovAnA
سوم	sevvom
ریاضت	riyAzat
آجر	'Ajor
طغیانگر	toqyAngar
والنسیا	vAlensiyA
رمل	ramal
حیدرپور	heydarpur
درنده‌خویی	darrandexuyi
موثقی	movassaqi
سبک‌بار	sabokbAr
پاکی	pAki
عتیق	'atiq
نزدیکی	nazdiki
استعاره	'este'Are
کجکی	kajaki
توکلی	tavakkoli
بی‌پول	bipul
تنگی	tangi
آشفته	'ASofte
چاق‌سلامتی	CAqsalAmati
خسته	xaste
دیزی	dizi
سون‌‌یات‌‌سن	sunyAtsen
اسلام	'eslAm
مخفی‌کاری	maxfikAri
قزل‌‌باش	qezelbAS
سیزده‌‌ساله	sizdahsAle
شب‌‌کور	Sabkur
حساسیت‌زدایی	hassAsiyyatzodAyi
بنی‌سعد	banisa'd
قرمطی	qarmati
دینداری	dindAri
خفا	xafA
یرقان	yaraqAn
همسنگ	hamsang
تصمیم‌گیرنده	tasmimgirande
کلنی	koloni
کج‌رفتار	kajraftAr
به‌رایگان	berAyegAn
نخبه	noxbe
صباحت	sabAhat
طنزآمیز	tanzAmiz
فوریت	foriyyat
توطئه‌کننده	towte'ekonande
غیرشفاف	qeyreSaffAf
پیموده	peymude
کتابداری	ketAbdAri
درون‌گرا	darungerA
جهانگیر	jahAngir
عنبربو	'anbarbu
گام‌به‌گام	gAmbegAm
گادولینیم	gAdoliniyom
امپرسیونیست	'ampersiyonist
ملوک‌الطوایفی	molukottavAyefi
شورایعالی	SowrAye'Ali
حیله‌گری	hilegari
ایرج	'iraj
مراعات	morA'At
تصریح	tasrih
آذربایجان	'AzarbAyjAn
حیله‌گرانه	hilegarAne
فهماند	fahmAnd
آیین‌نامه	'AyinnAme
قلت	qellat
لوله‌کش	lulekeS
نخجوان	naxjavAn
تحمیلی	tahmili
مده	madde
پاساژ	pAsAZ
خداقوت	xodAqovvat
سولنویید	solenoyid
ژان	ZAn
رایانه‌ای	rAyAne'i
کم	kam
تشک	toSak
معجون	ma'jun
بازرسی‌شده	bAzresiSode
قیاس	qiyAs
بی‌شمار	biSomAr
شیعه	Si'e
نوازند‌گی	navAzandegi
توحش	tavahhoS
شهبازخانی	SahbAzxAni
ولز	velez
مثل	masal
خوش‌سابقه	xoSsAbeqe
شماره	SomAre
رهبان	rohbAn
نایلکس	nAyleks
دگرگونی	degarguni
گسترده	gostarde
پاپوش	pApuS
لادن	lAdan
جوابگو	javAbgu
تمبر	tamr
گنج	ganj
قطب‌‌نما	qotbnamA
نوحه‌سرا	nowhesorA
هزاره	hezAre
خوشگوار	xoSgovAr
تفصیلی	tafsili
ناظریان	nAzeriyAn
صدرالدین	sadreddin
سامانی	sAmAni
سرکه	serke
جاودانه	jAvdAne
همقدمی	hamqadami
نوبلیم	nobelyom
گذار	gozAr
همدل	hamdel
تعصب‌آمیز	ta'assobAmiz
سرزنش	sarzaneS
متوکل	motevakkel
بیوتروریسم	biyoterorism
غارتگر	qAratgar
ایزوله	'izole
امکان‌سنجی	'emkAnsanji
ایچ	'eyC
سوبسید	subsid
لاکپشتان	lAkpoStAn
مقاومت	moqAvemat
نمدزین	namadzin
نژاد	neZAd
آبی	'Abi
جلوه‌گری	jelvegari
بلدیه	baladiyye
منتظم	montazam
رادیال	rAdiyAl
بابیروسا	bAbirosA
